CompanyName,Name,City,E_Province,Latitude,Longitude,E_NAIC_Name,CO2_eq,E_Units,Symbol,Report_Year,E_DetailPageURL
Campbell Co. of Canada,PLANT 051 - Toronto,Etobicoke,Ontario,43.605600000000003,-79.500200000000007,Frozen Food Manufacturing,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110593&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,North Rapdan Oil MWB 06-09,,Saskatchewan,49.281720000000000,-108.643039999999999,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111582&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,Rapdan Battery 16-02,,Saskatchewan,49.361849999999997,-108.587270000000004,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111396&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
EBI Énergie Inc.,Centrale de cogénération,Saint Thomas,Quebec,0.000000000000000,0.000000000000000,Other Electric Power Generation,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111399&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Masterloy Products Co.,MASTERLOY PRODUCTS Company,Ottawa,Ontario,45.296199999999999,-75.576099999999997,Iron and Steel Mills and Ferro-Alloy Manufacturing,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111956&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Canadian Natural Resources Limited,BRINTNELL 9-2-81-23w4,,Alberta,55.993499999999997,-113.480999999999995,Conventional Oil and Gas Extraction,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110743&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
QUINSAM COAL COPORATION,QUINSAM COAL CORP,Campbell River,British Columbia,0.000000000000000,0.000000000000000,Bituminous Coal Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110695&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Taqa North Ltd.,Pc Whitecourt South Bty 12-26,,Alberta,54.131999999999998,-115.546999999999997,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112464&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,Viewfield Oil SWB 04-13,,Saskatchewan,49.640999999999998,-103.245440000000002,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111573&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Whitecap Resources Inc.,101/04-26-032-24W3/0 (8B1-26) SWB,Oakdale,Saskatchewan,0.000000000000000,0.000000000000000,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111609&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
